Clinic_ID,Province,City,Area,Clinic_Name,Clinic_Type,Latitude,Longitude,Phone,Operating_Hours,Services,Treatable_Conditions,Emergency_Services,Wheelchair_Access,Has_Pharmacy
28,KwaZulu-Natal,Pietermaritzburg,Edendale,Edendale Medical Centre,Primary Care Clinic,-29.666818,30.476554,011 388 5703,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Limited,Yes
29,KwaZulu-Natal,Pietermaritzburg,Edendale,Edendale Health Centre,Health Centre,-29.596696,30.305519,012 902 6020,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
30,KwaZulu-Natal,Pietermaritzburg,Northdale,Northdale Health Centre,Health Centre,-29.618143,30.302155,011 115 7678,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Limited,Yes
31,KwaZulu-Natal,Pietermaritzburg,Northdale,Northdale Medical Centre,Community Health Centre,-29.54881,30.407029,012 585 9411,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
32,KwaZulu-Natal,Pietermaritzburg,Northdale,Northdale Medical Centre,Mobile Clinic,-29.681506,30.476613,011 747 8974,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
33,KwaZulu-Natal,Pietermaritzburg,Northdale,Northdale Primary Care Clinic,Primary Care Clinic,-29.635362,30.46508,010 785 2872,24 Hours Emergency Services,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",Yes,Yes,Yes
34,KwaZulu-Natal,Pietermaritzburg,Scottsville,Scottsville District Hospital,District Hospital,-29.660621,30.38323,010 551 9203,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
35,KwaZulu-Natal,Pietermaritzburg,Scottsville,Scottsville Health Centre,Health Centre,-29.693697,30.373083,012 942 1807,24 Hours Emergency Services,"Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",Yes,Yes,No
36,KwaZulu-Natal,Newcastle,Newcastle Central,Newcastle Central Mobile Clinic,Mobile Clinic,-27.722694,29.992195,011 886 4157,24 Hours Emergency Services,"Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",Yes,Yes,Yes
37,KwaZulu-Natal,Newcastle,Newcastle Central,Newcastle Central Medical Centre,Health Centre,-27.727482,29.955882,010 342 4505,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
38,KwaZulu-Natal,Newcastle,Newcastle Central,Newcastle Central Medical Centre,Primary Care Clinic,-27.792393,29.985892,011 359 4100,24 Hours Emergency Services,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",Yes,Yes,No
39,KwaZulu-Natal,Newcastle,Madadeni,Madadeni Medical Centre,Community Health Centre,-27.745814,29.978064,012 410 4895,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,No
40,KwaZulu-Natal,Newcastle,Madadeni,Madadeni Medical Centre,District Hospital,-27.791534,29.980346,012 743 1735,24 Hours Emergency Services,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,No
41,KwaZulu-Natal,Newcastle,Madadeni,Madadeni Medical Centre,Mobile Clinic,-27.739567,29.994314,011 294 4035,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
42,KwaZulu-Natal,Newcastle,Osizweni,Osizweni Community Health Centre,Community Health Centre,-27.794624,29.991985,012 305 5663,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
43,KwaZulu-Natal,Newcastle,Osizweni,Osizweni Medical Centre,Community Health Centre,-27.794522,29.922633,011 353 7377,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Limited,Yes
44,KwaZulu-Natal,Newcastle,Osizweni,Osizweni Community Health Centre,Community Health Centre,-27.718553,29.980169,012 872 9642,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Limited,Yes
45,KwaZulu-Natal,Newcastle,Dundee,Dundee Health Centre,Health Centre,-27.799232,29.929152,012 495 8586,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Limited,No
46,KwaZulu-Natal,Newcastle,Dundee,Dundee Community Health Centre,Community Health Centre,-27.720588,29.954287,010 243 2480,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Limited,Yes
47,KwaZulu-Natal,Newcastle,Dundee,Dundee Medical Centre,Health Centre,-27.751039,29.943512,011 745 4938,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
48,KwaZulu-Natal,Newcastle,Glencoe,Glencoe Medical Centre,Community Health Centre,-27.705832,29.966873,011 212 9941,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Limited,Yes
49,KwaZulu-Natal,Newcastle,Glencoe,Glencoe Mobile Clinic,Mobile Clinic,-27.781142,29.914154,011 441 9030,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
50,KwaZulu-Natal,Newcastle,Glencoe,Glencoe District Hospital,District Hospital,-27.74448,29.933769,011 535 4731,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
51,KwaZulu-Natal,Richards Bay,Richards Bay Central,Richards Bay Central Medical Centre,Mobile Clinic,-28.797642,32.002065,010 173 8628,24 Hours Emergency Services,"Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",Yes,Yes,Yes
52,KwaZulu-Natal,Richards Bay,Richards Bay Central,Richards Bay Central Medical Centre,District Hospital,-28.76605,32.034037,011 454 5057,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
53,KwaZulu-Natal,Richards Bay,Richards Bay Central,Richards Bay Central Medical Centre,District Hospital,-28.715288,32.015385,010 265 7204,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,No
54,KwaZulu-Natal,Richards Bay,Richards Bay Central,Richards Bay Central District Hospital,District Hospital,-28.727397,32.038154,011 383 6071,24 Hours Emergency Services,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
55,KwaZulu-Natal,Richards Bay,Empangeni,Empangeni District Hospital,District Hospital,-28.733753,32.067983,010 141 5141,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Limited,No
56,KwaZulu-Natal,Richards Bay,Empangeni,Empangeni Medical Centre,Primary Care Clinic,-28.76025,32.011513,010 349 5925,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Limited,Yes
57,KwaZulu-Natal,Richards Bay,Empangeni,Empangeni District Hospital,District Hospital,-28.7892,32.063084,010 338 1615,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Limited,Yes
58,KwaZulu-Natal,Richards Bay,Empangeni,Empangeni Community Health Centre,Community Health Centre,-28.741898,32.051842,011 106 8889,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Limited,No
59,KwaZulu-Natal,Richards Bay,Mbonambi,Mbonambi Medical Centre,Primary Care Clinic,-28.797807,32.048743,010 314 5535,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Yes,No
60,KwaZulu-Natal,Richards Bay,Mbonambi,Mbonambi Medical Centre,Primary Care Clinic,-28.750704,32.036506,012 532 1943,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Yes,Yes
61,KwaZulu-Natal,Richards Bay,Mbonambi,Mbonambi Medical Centre,Community Health Centre,-28.769799,32.072521,010 480 1247,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Limited,Yes
62,KwaZulu-Natal,Richards Bay,Nseleni,Nseleni Medical Centre,Community Health Centre,-28.758686,32.010021,010 438 1360,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
63,KwaZulu-Natal,Richards Bay,Nseleni,Nseleni Mobile Clinic,Mobile Clinic,-28.773065,32.040625,011 118 3495,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
64,KwaZulu-Natal,Richards Bay,Nseleni,Nseleni Health Centre,Health Centre,-28.751799,32.038652,010 730 5192,24 Hours Emergency Services,"Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",Yes,Yes,Yes
65,KwaZulu-Natal,Richards Bay,Nseleni,Nseleni Mobile Clinic,Mobile Clinic,-28.769667,32.069782,012 223 4246,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
66,KwaZulu-Natal,Richards Bay,Brackenham,Brackenham Medical Centre,Community Health Centre,-28.753404,32.031323,010 284 5851,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
67,KwaZulu-Natal,Richards Bay,Brackenham,Brackenham Medical Centre,District Hospital,-28.748729,32.079286,011 771 8916,24 Hours Emergency Services,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Limited,No
68,KwaZulu-Natal,Richards Bay,Brackenham,Brackenham Medical Centre,District Hospital,-28.747031,32.023466,010 286 4758,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Limited,No
69,KwaZulu-Natal,Richards Bay,Brackenham,Brackenham Medical Centre,Community Health Centre,-28.737526,32.028928,011 500 8903,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
70,KwaZulu-Natal,Empangeni,Empangeni Central,Empangeni Central Medical Centre,Mobile Clinic,-28.759936,31.970348,012 570 3923,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,No
71,KwaZulu-Natal,Empangeni,Empangeni Central,Empangeni Central Medical Centre,Community Health Centre,-28.79685,31.975975,012 729 6438,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Limited,Yes
72,KwaZulu-Natal,Empangeni,Empangeni Central,Empangeni Central Community Health Centre,Community Health Centre,-28.772732,31.925972,011 229 5858,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Yes,Yes
73,KwaZulu-Natal,Empangeni,Empangeni Central,Empangeni Central Medical Centre,Primary Care Clinic,-28.71959,31.952814,010 747 4151,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Limited,Yes
74,KwaZulu-Natal,Empangeni,Velddrif,Velddrif Medical Centre,Health Centre,-28.731348,31.93983,010 998 2367,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Limited,Yes
75,KwaZulu-Natal,Empangeni,Velddrif,Velddrif Medical Centre,District Hospital,-28.714385,31.903991,011 205 3500,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
76,KwaZulu-Natal,Empangeni,Kuleka,Kuleka Primary Care Clinic,Primary Care Clinic,-28.729176,31.900652,012 384 2695,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Yes,Yes
77,KwaZulu-Natal,Empangeni,Kuleka,Kuleka Medical Centre,Community Health Centre,-28.734981,31.941258,011 833 1343,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Yes,Yes
78,KwaZulu-Natal,Empangeni,Kuleka,Kuleka Health Centre,Health Centre,-28.744891,31.933335,010 934 1927,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
79,KwaZulu-Natal,Empangeni,Kuleka,Kuleka District Hospital,District Hospital,-28.700117,31.955661,012 942 1910,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
80,KwaZulu-Natal,Empangeni,Ngwelezane,Ngwelezane Medical Centre,Community Health Centre,-28.715308,31.981242,011 371 1288,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,No
81,KwaZulu-Natal,Empangeni,Ngwelezane,Ngwelezane Health Centre,Health Centre,-28.788294,31.975444,012 741 4205,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
82,KwaZulu-Natal,Empangeni,Mkhwanazi,Mkhwanazi Community Health Centre,Community Health Centre,-28.751253,31.960756,012 324 9157,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
83,KwaZulu-Natal,Empangeni,Mkhwanazi,Mkhwanazi Medical Centre,Health Centre,-28.775885,31.9484,012 903 9669,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Limited,Yes
84,KwaZulu-Natal,Empangeni,Mkhwanazi,Mkhwanazi Medical Centre,Mobile Clinic,-28.768967,31.91913,012 406 3712,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
85,KwaZulu-Natal,Empangeni,Mkhwanazi,Mkhwanazi Medical Centre,Mobile Clinic,-28.737918,31.990029,011 293 7790,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,No
86,KwaZulu-Natal,Ladysmith,Ladysmith Central,Ladysmith Central Medical Centre,District Hospital,-28.596855,29.706109,010 925 1270,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
