question,answer,tags
How do I treat an asthma attack?,"Sit upright. Use your reliever inhaler (usually blue). Take 1 puff every 30-60 seconds up to 10 puffs. If no improvement, call emergency services. Stay calm.",asthma attack treat treatment
What is tuberculosis?,"Tuberculosis (TB) is a bacterial infection that usually affects the lungs. Symptoms include a cough lasting more than 2 weeks, chest pain, night sweats, weight loss, and coughing blood. It is curable with 6 months of treatment.",tb tuberculosis lung
How is TB treated?,"TB is treated with a combination of antibiotics for 6-9 months. It is very important to complete the full course. Missing doses can lead to drug-resistant TB.",tb tuberculosis treat treatment
How is TB spread?,"TB spreads through the air when an infected person coughs or sneezes. It is not spread by touching surfaces or sharing food.",tb tuberculosis spread
What is malaria?,"Malaria is a serious disease caused by a parasite spread through mosquito bites. Symptoms include fever, chills, sweating, headache, and nausea. It can be fatal if not treated quickly.",malaria mosquito fever
How do I prevent malaria?,"Use insect repellent. Sleep under a mosquito net. Take antimalarial medication if travelling to high-risk areas. Wear long sleeves in the evening.",malaria prevent prevention mosquito
What are symptoms of the flu?,"Flu symptoms include fever, cough, sore throat, runny nose, body aches, headache, chills, and fatigue. Symptoms usually come on suddenly and last 5-7 days.",flu influenza symptoms
How do I treat the flu?,"Rest. Drink plenty of fluids. Take paracetamol or ibuprofen for fever and aches. Stay home to avoid spreading it. See a doctor if symptoms are severe or last more than 10 days.",flu influenza treat treatment
What is COVID-19?,"COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus. Symptoms include fever, cough, shortness of breath, fatigue, and loss of taste or smell. It spreads through droplets in the air.",covid coronavirus covid19
How do I prevent COVID-19?,"Get vaccinated. Wash hands frequently. Wear a mask in crowded indoor spaces. Maintain distance from sick people. Improve ventilation indoors.",covid coronavirus prevent prevention
What are symptoms of COVID-19?,"Fever, dry cough, tiredness, loss of taste or smell, sore throat, headache, body aches, and shortness of breath.",covid symptoms
What is long COVID?,"Long COVID is when symptoms continue for weeks or months after the initial infection. Common symptoms include fatigue, brain fog, and shortness of breath.",covid long covid
What is cancer?,"Cancer is a disease where abnormal cells grow uncontrollably. It can affect almost any part of the body. Treatment depends on the type and stage, and may include surgery, chemotherapy, or radiation.",cancer tumour tumor
What causes cancer?,"Cancer is caused by genetic mutations that build up over time. Risk factors include smoking, alcohol, poor diet, sun exposure, some viruses, and family history. Not all cancers have a known cause.",cancer cause causes
How can I prevent cancer?,"Don't smoke. Limit alcohol. Eat a healthy diet. Exercise. Protect skin from the sun. Get recommended cancer screenings. Get vaccinated against HPV and hepatitis B.",cancer prevent prevention
What are signs of cancer?,"Unexplained weight loss, persistent fatigue, lumps, changes in skin, unusual bleeding, persistent cough, and changes in bowel habits.",cancer signs symptoms
What is lung cancer?,"Lung cancer starts in the lungs. Symptoms include a persistent cough, coughing blood, chest pain, and shortness of breath. Smoking is the biggest risk factor.",lung cancer
What is breast cancer?,"Breast cancer starts in the breast tissue. Signs include a lump, change in nipple, or skin dimpling. Regular self-exams and mammograms help early detection.",breast cancer
What is prostate cancer?,"Prostate cancer affects the prostate gland in men. Symptoms include difficulty urinating, weak urine flow, and blood in urine or semen. Regular check-ups help early detection.",prostate cancer
What is cervical cancer?,"Cervical cancer affects the cervix. It is often caused by HPV. Regular Pap smears and HPV vaccination help prevent it.",cervical cancer
What is skin cancer?,"Skin cancer is cancer that starts in the skin. Look for new moles, changes in existing moles, or sores that don't heal. Sun protection reduces risk.",skin cancer melanoma
What is leukaemia?,"Leukaemia is cancer of the blood and bone marrow. Symptoms include fatigue, frequent infections, easy bruising, and weight loss.",leukaemia leukemia blood cancer
What is a stroke?,"A stroke happens when blood flow to part of the brain is cut off. Signs: FAST — Face drooping, Arm weakness, Speech difficulty, Time to call emergency. Every minute counts.",stroke brain fast
What should I do if someone is having a stroke?,"Call emergency services immediately. Note the time symptoms started. Keep the person calm. Do NOT give food or drink. Do not give aspirin unless told by a medical professional.",stroke emergency fast
What are stroke warning signs?,"FAST: Face drooping, Arm weakness, Speech difficulty, Time to call emergency. Other signs include sudden vision loss, severe headache, and trouble walking.",stroke signs warning
What is a heart attack?,"A heart attack happens when blood flow to the heart is blocked. Symptoms: chest pain, pressure or tightness, pain in arm jaw or back, shortness of breath, sweating, nausea.",heart attack cardiac
What should I do if someone is having a heart attack?,"Call emergency services. Make them sit and rest. Loosen tight clothing. Give aspirin if available and they're not allergic. If unconscious, start CPR.",heart attack cardiac emergency
What are heart attack symptoms in women?,"Women may have less obvious symptoms: fatigue, shortness of breath, nausea, and pain in the jaw, neck, or back. Chest pain is common but not always present.",heart attack women
What is heart failure?,"Heart failure means the heart can't pump blood as well as it should. Symptoms include shortness of breath, swelling in legs, and fatigue.",heart failure heart
What is angina?,"Angina is chest pain caused by reduced blood flow to the heart. It is often a warning sign of heart disease.",angina chest pain
What is arrhythmia?,"Arrhythmia is an irregular heartbeat. Symptoms include palpitations, dizziness, and fainting.",arrhythmia heart
What is a blood clot?,"A blood clot is a clump of blood that becomes solid. If it blocks a blood vessel, it can cause a stroke, heart attack, or pulmonary embolism.",blood clot thrombosis
What is high cholesterol?,"Cholesterol is a waxy substance in your blood. Too much can clog arteries and lead to heart disease. High cholesterol usually has no symptoms.",cholesterol heart
How do I lower my cholesterol?,"Eat less saturated and trans fat. Exercise. Lose weight. Quit smoking. Eat more fibre. Take medication if prescribed.",cholesterol lower treat
What is pneumonia?,"Pneumonia is an infection of the lungs. Symptoms include cough, fever, chills, difficulty breathing, and chest pain. It can be caused by bacteria, viruses, or fungi. Treatment depends on the cause.",pneumonia lung infection
What is bronchitis?,"Bronchitis is inflammation of the bronchial tubes. Symptoms include persistent cough, mucus production, chest discomfort, and mild fever. Most cases are viral and clear up in 2-3 weeks.",bronchitis cough lung
What is emphysema?,"Emphysema is a lung disease where the air sacs are damaged. It is most often caused by smoking. Symptoms include shortness of breath and a chronic cough.",emphysema lung copd
What is COPD?,"COPD (Chronic Obstructive Pulmonary Disease) is a group of lung diseases that make breathing difficult. It is usually caused by smoking. Symptoms include cough, wheezing, and shortness of breath.",copd lung
What is a fever?,"A fever is a body temperature above 38°C (100.4°F). It's usually a sign the body is fighting an infection. Most fevers are not dangerous and go away on their own.",fever temperature high
How do I treat a fever?,"Rest. Drink plenty of fluids. Take paracetamol to lower temperature. Wear light clothing. See a doctor if fever is above 39.5°C, lasts more than 3 days, or comes with severe symptoms.",fever treat treatment temperature
What causes a cough?,"Coughs are caused by colds, flu, allergies, asthma, smoking, acid reflux, or infections. A cough lasting more than 3 weeks should be checked by a doctor.",cough causes
How do I treat a cough?,"Drink warm fluids. Use honey (for adults and children over 1). Try steam inhalation. Avoid smoke. See a doctor if the cough lasts more than 3 weeks or brings up blood.",cough treat treatment
What is whooping cough?,"Whooping cough (pertussis) is a bacterial infection that causes severe coughing fits. It is prevented by vaccination.",whooping cough pertussis
What is a sore throat?,"A sore throat is pain or irritation in the throat. It is often caused by a cold or flu. Gargling warm salt water helps.",sore throat
How do I treat a sore throat?,"Gargle warm salt water. Drink warm fluids. Suck on lozenges. Take paracetamol for pain. See a doctor if it lasts more than a week or comes with a high fever.",sore throat treat
What is strep throat?,"Strep throat is a bacterial infection of the throat. Symptoms include severe sore throat, fever, and swollen glands. It needs antibiotics.",strep throat
What is tonsillitis?,"Tonsillitis is inflammation of the tonsils. Symptoms include sore throat, difficulty swallowing, and fever. It can be viral or bacterial.",tonsillitis throat
What is diarrhoea?,"Diarrhoea is when you pass loose or watery stools 3 or more times a day. It can be caused by infection, food poisoning, or medication. Most cases clear up within a few days.",diarrhoea diarrhea stomach
How do I treat diarrhoea?,"Drink plenty of fluids and oral rehydration salts. Eat bland foods. Avoid dairy. See a doctor if there's blood in stool, if it lasts more than 2 days, or if you can't keep fluids down.",diarrhoea diarrhea treat
What is food poisoning?,"Food poisoning happens when you eat contaminated food. Symptoms include nausea, vomiting, diarrhoea, stomach cramps, and fever. It usually clears up within 48 hours.",food poisoning stomach
How do I treat food poisoning?,"Rest and drink fluids. Avoid solid food until vomiting stops. Eat bland foods when you feel better. Seek medical help if symptoms are severe or last more than 3 days.",food poisoning treat
What is gastroenteritis?,"Gastroenteritis (stomach flu) is inflammation of the stomach and intestines. Symptoms include diarrhoea, vomiting, and stomach cramps. It usually clears up on its own.",gastroenteritis stomach flu
What is nausea?,"Nausea is the feeling of wanting to vomit. It can be caused by infection, pregnancy, medication, or motion sickness.",nausea
What causes vomiting?,"Vomiting can be caused by infection, food poisoning, pregnancy, migraine, medication, or a blocked intestine.",vomiting
How do I treat vomiting?,"Stop solid food for a few hours. Sip small amounts of water or rehydration fluid. Gradually return to bland food. See a doctor if vomiting lasts more than 24 hours or there is blood.",vomiting treat
What is constipation?,"Constipation is when you have fewer than 3 bowel movements a week, or they are hard to pass. It can be caused by low fibre, dehydration, or medication.",constipation
How do I treat constipation?,"Drink more water. Eat more fibre (fruit, vegetables, whole grains). Exercise. Try prunes or a mild laxative if needed. See a doctor if it lasts more than 2 weeks.",constipation treat
What is irritable bowel syndrome?,"IBS is a common gut condition causing cramps, bloating, diarrhoea, or constipation. It is not dangerous but can affect quality of life.",ibs bowel
What is a stomach ulcer?,"A stomach ulcer is a sore on the lining of the stomach. It is often caused by H. pylori bacteria or long-term use of painkillers. Symptoms include burning pain and nausea.",ulcer stomach
What is acid reflux?,"Acid reflux is when stomach acid flows back into the food pipe. It causes heartburn and a sour taste. Frequent reflux is called GERD.",reflux gerd heartburn
What is appendicitis?,"Appendicitis is inflammation of the appendix. Symptoms include pain starting near the belly button and moving to the lower right, nausea, and fever. It is a medical emergency.",appendicitis
What is a hernia?,"A hernia is when an organ pushes through a weak spot in the muscle. Symptoms include a bulge, pain, or discomfort. Some hernias need surgery.",hernia
What is gallstones?,"Gallstones are hard pieces of material that form in the gallbladder. They can cause pain in the upper right abdomen, nausea, and jaundice.",gallstones
What is kidney stones?,"Kidney stones are hard deposits that form in the kidneys. Symptoms include severe pain in the back or side, blood in urine, and painful urination.",kidney stones
What is a urinary tract infection?,"A UTI is an infection in the urinary system. Symptoms include burning when urinating, frequent urination, cloudy urine, and lower belly pain. It is treated with antibiotics.",uti urinary infection
What is a bladder infection?,"A bladder infection is a type of UTI. Symptoms include pelvic pain, frequent urination, and burning. It needs antibiotics.",bladder uti
What is a kidney infection?,"A kidney infection is a serious UTI that has spread to the kidneys. Symptoms include fever, back pain, and nausea. It needs prompt medical treatment.",kidney infection
What is anaemia?,"Anaemia means you don't have enough healthy red blood cells. Symptoms include fatigue, weakness, pale skin, and shortness of breath. Common causes are iron deficiency, blood loss, or chronic disease.",anaemia anemia blood
How do I treat anaemia?,"Eat iron-rich foods like red meat, spinach, and beans. Take iron supplements if prescribed. Treat the underlying cause. See a doctor for severe symptoms.",anaemia anemia treat
What is sickle cell disease?,"Sickle cell disease is an inherited blood disorder. Red blood cells become crescent-shaped and block blood flow, causing pain and other complications.",sickle cell blood
What is haemophilia?,"Haemophilia is a bleeding disorder where blood doesn't clot properly. It is usually inherited.",haemophilia bleeding
What is leukaemia?,"Leukaemia is cancer of the blood and bone marrow. Symptoms include fatigue, frequent infections, easy bruising, and weight loss.",leukaemia blood cancer
What is arthritis?,"Arthritis is inflammation of one or more joints. Symptoms include pain, stiffness, swelling, and reduced movement. Common types are osteoarthritis and rheumatoid arthritis.",arthritis joint pain
How do I treat arthritis?,"Exercise gently. Maintain a healthy weight. Use hot or cold packs. Take pain relievers if needed. See a doctor for medication or physical therapy.",arthritis treat joint
What is osteoarthritis?,"Osteoarthritis is the most common form of arthritis. It happens when the cartilage between bones wears down. It usually affects knees, hips, and hands.",osteoarthritis joint
What is rheumatoid arthritis?,"Rheumatoid arthritis is an autoimmune disease where the body attacks its own joints. It causes pain, swelling, and stiffness, often on both sides of the body.",rheumatoid arthritis
What is gout?,"Gout is a type of arthritis caused by too much uric acid. It causes sudden severe pain, often in the big toe.",gout
What is osteoporosis?,"Osteoporosis is when bones become weak and brittle. It is more common in women after menopause. It increases the risk of fractures.",osteoporosis bones
What is a muscle strain?,"A strain is an injury to a muscle or tendon. Symptoms include pain, swelling, and muscle weakness. Rest and gentle stretching help.",strain muscle
What is a sprain?,"A sprain is an injury to a ligament. Symptoms include pain, swelling, and bruising. Rest, Ice, Compression, and Elevation (RICE) helps.",sprain ankle
What is a fracture?,"A fracture is a broken bone. Symptoms include pain, swelling, bruising, and inability to move the limb. Do not try to straighten it — get medical help.",fracture broken bone
How do I treat a fracture?,"Do not move the injured area. Apply a cold pack. Keep the limb still. Call for help or go to the emergency room.",fracture broken treat
What is a burn?,"A burn is damage to skin from heat, chemicals, electricity, or radiation. First-degree burns are red and painful. Second-degree burns blister. Third-degree burns are serious — call emergency services.",burn fire
How do I treat a burn?,"Cool the burn under running cool water for 10-20 minutes. Do not use ice. Cover with a clean non-stick dressing. Do not break blisters. Seek help for large or deep burns.",burn treat
What should I do for a burn from a chemical?,"Remove contaminated clothing. Flush the area with cool running water for 20 minutes. Cover with a clean dressing. Get medical help.",burn chemical
What should I do for a burn from electricity?,"Turn off the power first. Do not touch the person until the power is off. Call emergency services. Check for breathing. Cover burns with a clean dressing. Do not use water on electrical burns.",burn electrical emergency
What should I do for a sunburn?,"Get out of the sun. Cool the skin with cool water or a cool compress. Drink water. Apply aloe vera or moisturiser. Take pain relievers if needed. Avoid sun until healed.",sunburn
What is a blister?,"A blister is a small pocket of fluid in the upper layer of skin. It is usually caused by friction, burns, or infection. Do not pop it.",blister
What is a cut?,"A cut is a break in the skin. Clean it with water, apply pressure to stop bleeding, and cover with a bandage.",cut wound
What should I do for a deep cut?,"Apply firm pressure with a clean cloth. Add more cloth on top — do not remove. Elevate the wound if possible. Keep pressure until bleeding stops. Call emergency services if bleeding is heavy or won't stop.",bleeding cut emergency
What is a scrape?,"A scrape is a minor wound where the skin is rubbed off. Wash with soap and water, apply antibiotic ointment, and cover with a bandage.",scrape wound
What should I do for a wound infection?,"See a doctor. Signs of infection include redness, swelling, warmth, pus, and fever. You may need antibiotics.",wound infection
What is a nosebleed?,"A nosebleed is bleeding from the nose. It is common and usually not serious. Causes include dry air, picking the nose, or injury.",nosebleed nose
How do I stop a nosebleed?,"Sit upright and lean forward. Pinch the soft part of the nose for 10-15 minutes. Breathe through your mouth. Apply a cold pack to the bridge. Seek help if it doesn't stop.",nosebleed nose treat
What is a bruise?,"A bruise is bleeding under the skin caused by injury. It changes colour as it heals. Most bruises heal within 2 weeks.",bruise
What is a nose fracture?,"A nose fracture is a broken nose. Symptoms include pain, swelling, bruising, and difficulty breathing through the nose. See a doctor.",nose fracture
What is a black eye?,"A black eye is bruising around the eye caused by injury. Apply a cold pack for 15-20 minutes at a time. See a doctor if vision is affected.",black eye
What is a head injury?,"A head injury can range from a mild bump to a serious brain injury. Seek emergency help for loss of consciousness, confusion, vomiting, or severe headache.",head injury
What is a concussion?,"A concussion is a mild brain injury caused by a blow to the head. Symptoms include headache, confusion, dizziness, and memory problems. Rest is important.",concussion
What is a spinal injury?,"A spinal injury is damage to the spinal cord. It can cause paralysis and loss of sensation. Do NOT move the person — call emergency services.",spinal injury
What is a broken rib?,"A broken rib is a fracture of one of the ribs. Symptoms include pain when breathing, coughing, or moving. Seek help if breathing is difficult.",rib fracture
What is a broken arm?,"A broken arm is a fracture of one of the bones in the arm. Symptoms include pain, swelling, and inability to move the arm. Immobilise and get medical help.",arm fracture
What is a broken leg?,"A broken leg is a fracture of one of the bones in the leg. Symptoms include pain, swelling, and inability to walk. Immobilise and get medical help.",leg fracture
What is a dislocated joint?,"A dislocated joint is when bones are forced out of their normal position. Symptoms include severe pain, swelling, and deformity. Do NOT try to push it back in — get medical help.",dislocation joint
What is a pulled muscle?,"A pulled muscle is a strain. Rest, ice, compression, and elevation help. Avoid using the muscle until it heals.",pulled muscle
What is a torn ligament?,"A torn ligament is a serious sprain. Symptoms include pain, swelling, and instability. It may need surgery.",torn ligament
What is tendonitis?,"Tendonitis is inflammation of a tendon. It causes pain and swelling near a joint. Rest and ice help.",tendonitis
What is plantar fasciitis?,"Plantar fasciitis is inflammation of the tissue on the bottom of the foot. It causes heel pain, especially in the morning.",plantar fasciitis foot
What is a migraine aura?,"A migraine aura is a warning sign before a migraine. It can include flashing lights, blind spots, or tingling. It usually lasts 20-60 minutes.",migraine aura
What is vertigo?,"Vertigo is a feeling that you or the world is spinning. It can be caused by inner ear problems. See a doctor if it's frequent.",vertigo dizziness
What is dizziness?,"Dizziness is a feeling of lightheadedness or unsteadiness. It can be caused by dehydration, low blood pressure, or inner ear problems.",dizziness
What is fainting?,"Fainting (syncope) is a brief loss of consciousness. It is usually caused by a temporary drop in blood flow to the brain. See a doctor if it happens often.",fainting
What is a seizure?,"A seizure is a sudden burst of electrical activity in the brain. Symptoms vary — from staring spells to full-body convulsions. Call emergency services if it lasts more than 5 minutes.",seizure epilepsy
What should I do for a seizure?,"Clear the area. Cushion the head. Do NOT restrain the person. Do NOT put anything in their mouth. Time the seizure. Call emergency services if it lasts more than 5 minutes.",seizure epilepsy emergency
What is epilepsy?,"Epilepsy is a brain disorder that causes repeated seizures. It is usually managed with medication.",epilepsy seizure
What is a stroke?,"A stroke happens when blood flow to part of the brain is cut off. Signs: FAST — Face drooping, Arm weakness, Speech difficulty, Time to call emergency.",stroke brain fast
What is a TIA?,"A TIA (transient ischaemic attack) is a mini-stroke. Symptoms last minutes to hours then go away. It is a warning sign — see a doctor right away.",tia mini stroke
What is dementia?,"Dementia is a group of symptoms affecting memory, thinking, and social abilities. Alzheimer's is the most common cause.",dementia alzheimers
What is Alzheimer's disease?,"Alzheimer's is a progressive brain disease that affects memory and thinking. It is the most common cause of dementia.",alzheimers dementia
What is Parkinson's disease?,"Parkinson's disease is a brain disorder that causes shaking, stiffness, and difficulty with balance and coordination.",parkinsons
What is multiple sclerosis?,"MS is a disease where the immune system attacks the protective covering of nerves. It causes problems with vision, balance, and muscle control.",ms multiple sclerosis
What is motor neurone disease?,"MND is a group of diseases that affect the nerves controlling muscles. It causes weakness and eventually paralysis.",mnd motor neurone
What is cerebral palsy?,"Cerebral palsy is a group of disorders affecting movement and posture. It is caused by damage to the developing brain, often before birth.",cerebral palsy
What is spina bifida?,"Spina bifida is a birth defect where the spine doesn't form properly. It can cause physical and intellectual disabilities.",spina bifida
What is down syndrome?,"Down syndrome is a genetic condition caused by an extra copy of chromosome 21. It causes intellectual disability and characteristic physical features.",down syndrome
What is autism?,"Autism (ASD) is a developmental condition that affects communication and behaviour. It appears in early childhood.",autism asd
What is ADHD?,"ADHD (Attention Deficit Hyperactivity Disorder) is a condition that affects focus, impulse control, and activity levels. It is often diagnosed in childhood.",adhd
What is depression?,"Depression is a mental health condition with persistent sadness, loss of interest, low energy, and difficulty concentrating. It is a real illness and it is treatable.",depression mental sad
How do I treat depression?,"Talk to a doctor or counsellor. Consider therapy and medication. Exercise. Get enough sleep. Stay connected with people. Reach out for help — you are not alone.",depression treat mental
What is anxiety?,"Anxiety is a feeling of worry, fear, or unease that is hard to control. Symptoms include restlessness, rapid heartbeat, sweating, and trouble concentrating. Treatment includes therapy and sometimes medication.",anxiety worry stress
How do I treat anxiety?,"Try deep breathing, meditation, or yoga. Exercise regularly. Limit caffeine and alcohol. Talk to a therapist if it affects daily life.",anxiety treat
What is a panic attack?,"A panic attack is a sudden episode of intense fear with physical symptoms like racing heart, sweating, and difficulty breathing. It usually peaks within 10 minutes.",panic attack anxiety
What should I do for a panic attack?,"Stay calm. Breathe slowly and deeply. Remind the person they are safe. Stay with them. Do not crowd them. Symptoms usually pass within 10-20 minutes.",panic attack anxiety
What is bipolar disorder?,"Bipolar disorder causes extreme mood swings from depression to mania. It is managed with medication and therapy.",bipolar mental
What is schizophrenia?,"Schizophrenia is a mental health condition that affects how a person thinks, feels, and behaves. Symptoms include hallucinations, delusions, and disorganised thinking.",schizophrenia mental
What is PTSD?,"PTSD (Post-Traumatic Stress Disorder) is a mental health condition that develops after a traumatic event. Symptoms include flashbacks, nightmares, and severe anxiety.",ptsd trauma mental
What is OCD?,"OCD (Obsessive-Compulsive Disorder) is a mental health condition with unwanted thoughts (obsessions) and repetitive behaviours (compulsions).",ocd mental
What is insomnia?,"Insomnia is difficulty falling or staying asleep. It can be caused by stress, caffeine, medication, or medical conditions. Long-term insomnia can affect your health.",insomnia sleep
How do I treat insomnia?,"Keep a regular sleep schedule. Avoid caffeine late in the day. Limit screen time before bed. Exercise during the day. Talk to a doctor if it lasts more than a few weeks.",insomnia sleep treat
How can I sleep better?,"Go to bed and wake up at the same time. Keep the room dark and cool. Avoid screens before bed. Avoid caffeine in the afternoon. Exercise during the day.",sleep rest
What is narcolepsy?,"Narcolepsy is a sleep disorder that causes sudden sleep attacks and extreme daytime sleepiness.",narcolepsy sleep
What is sleep apnoea?,"Sleep apnoea is when breathing stops briefly during sleep. Symptoms include loud snoring and daytime fatigue. It needs medical treatment.",sleep apnoea
How can I reduce stress?,"Try deep breathing, meditation, or yoga. Exercise regularly. Talk to someone you trust. Take breaks. Spend time in nature. Avoid alcohol and drugs.",stress mental
What is burnout?,"Burnout is a state of physical and emotional exhaustion caused by prolonged stress, often related to work. Symptoms include fatigue, cynicism, and reduced performance.",burnout stress
What is dehydration?,"Dehydration is when your body loses more water than it takes in. Symptoms include thirst, dark urine, dry mouth, fatigue, and dizziness. Severe dehydration can be life-threatening.",dehydration water
How do I treat dehydration?,"Drink water or oral rehydration salts. Avoid caffeine and alcohol. Rest. Seek emergency help if the person is confused or cannot keep fluids down.",dehydration water treat
How much water should I drink?,"Most adults need about 6-8 glasses (1.5-2 litres) of water a day. More if you exercise or live in a hot climate.",water hydration
What is a healthy diet?,"A healthy diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats. Limit sugar, salt, and processed foods. Drink plenty of water.",diet nutrition healthy
How much exercise do I need?,"Adults should aim for at least 150 minutes of moderate exercise or 75 minutes of vigorous exercise per week, plus strength training twice a week.",exercise fitness
What is obesity?,"Obesity is having too much body fat, measured by BMI. It increases the risk of diabetes, heart disease, and other conditions.",obesity weight
How can I lose weight safely?,"Eat a balanced diet with fewer calories. Exercise regularly. Aim to lose 0.5-1 kg per week. Avoid crash diets. See a doctor or dietitian if needed.",weight loss
What is a healthy BMI?,"A healthy BMI is between 18.5 and 24.9. Below 18.5 is underweight. 25-29.9 is overweight. 30+ is obese.",bmi weight
What is a vitamin D deficiency?,"Vitamin D deficiency can cause fatigue, bone pain, and muscle weakness. Get sunlight, eat fortified foods, and take supplements if needed.",vitamin d deficiency
What is iron deficiency?,"Iron deficiency is when the body doesn't have enough iron. It causes anaemia with fatigue, pale skin, and shortness of breath. Treat with iron-rich foods and supplements.",iron deficiency anaemia
What is a calcium deficiency?,"Calcium deficiency can cause weak bones, muscle cramps, and tingling. Get calcium from dairy, leafy greens, and fortified foods.",calcium deficiency
What is a vitamin B12 deficiency?,"B12 deficiency causes fatigue, numbness, and memory problems. It is common in vegetarians and older adults. Treat with supplements or injections.",b12 deficiency
What is folic acid?,"Folic acid (folate) is a B vitamin important for cell growth. It is especially important during pregnancy to prevent birth defects.",folic acid
What is a probiotic?,"Probiotics are good bacteria that help digestion and gut health. They are found in yoghurt, kefir, and supplements.",probiotic gut
What is an antibiotic?,"Antibiotics are medicines that kill bacteria. They do not work against viruses like colds or flu. Always finish the full course.",antibiotic
What is antibiotic resistance?,"Antibiotic resistance is when bacteria become resistant to antibiotics. It happens when antibiotics are overused or misused. It is a global health threat.",antibiotic resistance
What is a vaccine?,"A vaccine teaches the immune system to fight a specific disease. It is one of the most effective ways to prevent illness.",vaccine
What vaccines do children need?,"Children need vaccines for measles, mumps, rubella, polio, diphtheria, tetanus, whooping cough, hepatitis B, and more. Follow your country's schedule.",vaccines children
What is a flu shot?,"A flu shot is a yearly vaccine against influenza. It is recommended for most people over 6 months old, especially those at high risk.",flu shot vaccine
What is HPV vaccine?,"The HPV vaccine protects against human papillomavirus, which can cause cervical and other cancers. It is recommended for preteens and young adults.",hpv vaccine
What is a Pap smear?,"A Pap smear is a test that checks for cervical cancer. It is recommended every 3 years for women 21-65.",pap smear cervical
What is a mammogram?,"A mammogram is an X-ray of the breast used to screen for breast cancer. It is recommended every 1-2 years for women over 40 or 50.",mammogram breast
What is a prostate exam?,"A prostate exam checks the prostate for abnormalities. It is usually done with a physical exam and a PSA blood test.",prostate exam
What is a blood pressure test?,"A blood pressure test measures the force of blood against your artery walls. Normal is below 120/80. It is a quick and painless test.",blood pressure test
