Clinic_ID,Clinic_Name,Province,City,Clinic_Type,Latitude,Longitude,Phone,Operating_Hours,Services,Treatable_Conditions,Has_Pharmacy,Wheelchair_Access,Emergency_Services
11,Tembisa Health Facility,Gauteng,Tembisa,Community Health Centre,-26.259322,28.081092,011 550 1063,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
12,Tembisa Primary Care Clinic,Gauteng,Tembisa,Primary Care Clinic,-25.764631,27.906969,012 383 7840,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,No
13,Tembisa Health Facility,Gauteng,Tembisa,Health Centre,-26.110495,27.541836,010 930 2176,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
14,Tembisa Regional Clinic,Gauteng,Tembisa,District Hospital,-25.97542,28.290189,010 366 3998,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
15,Vereeniging Health Facility,Gauteng,Vereeniging,Health Centre,-26.277423,28.492487,012 591 8922,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,No
16,Vereeniging Health Facility,Gauteng,Vereeniging,Primary Care Clinic,-25.899859,28.274207,010 752 6841,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,Yes
17,Vereeniging Medical Centre,Gauteng,Vereeniging,Health Centre,-26.321662,28.238741,010 333 1561,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,No
18,Boksburg Health Centre,Gauteng,Boksburg,Health Centre,-25.929424,28.491052,010 756 2012,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
19,Boksburg Regional Clinic,Gauteng,Boksburg,Community Health Centre,-25.773936,28.173346,012 480 2089,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,Yes
20,Boksburg Primary Care Clinic,Gauteng,Boksburg,Primary Care Clinic,-26.424161,27.547945,010 979 3451,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",No,Limited,No
21,Boksburg Health Facility,Gauteng,Boksburg,Community Health Centre,-26.269745,28.477482,012 423 5034,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Limited,Yes
22,Boksburg Regional Clinic,Gauteng,Boksburg,Health Centre,-25.844427,27.643989,010 592 2398,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,Yes
23,Cape Town Health Centre,Western Cape,Cape Town,Health Centre,-33.650156,18.922917,010 409 5471,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
24,Cape Town Health Facility,Western Cape,Cape Town,Specialist Clinic,-33.912954,18.96811,012 884 3362,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
25,Cape Town District Hospital,Western Cape,Cape Town,District Hospital,-34.337393,18.690629,012 273 7522,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
26,Mitchells Plain Health Facility,Western Cape,Mitchells Plain,Primary Care Clinic,-34.300485,18.486362,011 319 4331,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,Yes
27,Mitchells Plain Medical Centre,Western Cape,Mitchells Plain,Community Health Centre,-33.516355,18.567302,011 679 7924,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
28,Mitchells Plain Regional Clinic,Western Cape,Mitchells Plain,Health Centre,-33.856831,18.599349,010 309 4285,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
29,Khayelitsha Specialist Clinic,Western Cape,Khayelitsha,Specialist Clinic,-33.588058,18.106638,011 227 2812,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
30,Khayelitsha District Hospital,Western Cape,Khayelitsha,District Hospital,-34.248315,18.366474,012 226 6549,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Yes,Yes
31,Khayelitsha Health Facility,Western Cape,Khayelitsha,District Hospital,-34.051982,18.687616,010 711 7357,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
32,Khayelitsha Health Facility,Western Cape,Khayelitsha,Primary Care Clinic,-33.566986,18.271121,011 532 8581,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
33,Khayelitsha District Hospital,Western Cape,Khayelitsha,District Hospital,-34.473018,18.883812,011 595 6940,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
34,Bellville Medical Centre,Western Cape,Bellville,District Hospital,-33.812108,18.584313,010 976 9228,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
35,Bellville Medical Centre,Western Cape,Bellville,Health Centre,-34.096033,18.29198,012 247 9201,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,Yes
36,Bellville Regional Clinic,Western Cape,Bellville,Specialist Clinic,-33.980822,18.077641,011 404 4821,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Limited,No
37,Paarl Medical Centre,Western Cape,Paarl,Community Health Centre,-34.420328,18.844786,010 953 5614,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Limited,No
38,Paarl Medical Centre,Western Cape,Paarl,Specialist Clinic,-33.844047,18.66567,012 645 5872,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Limited,No
39,Paarl Medical Centre,Western Cape,Paarl,Primary Care Clinic,-34.33215,18.136023,010 213 1280,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,Yes
40,Durban Regional Clinic,KwaZulu-Natal,Durban,District Hospital,-29.96606,31.781968,011 435 3917,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
41,Durban Health Facility,KwaZulu-Natal,Durban,Health Centre,-29.957996,31.909994,010 711 5619,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
42,Durban Health Facility,KwaZulu-Natal,Durban,Specialist Clinic,-30.477784,31.482265,011 738 3191,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Yes,No
43,Durban Specialist Clinic,KwaZulu-Natal,Durban,Specialist Clinic,-28.998052,31.162942,011 794 9619,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Limited,No
44,Pietermaritzburg Health Facility,KwaZulu-Natal,Pietermaritzburg,District Hospital,-29.249469,31.478309,011 671 5220,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
45,Pietermaritzburg Health Centre,KwaZulu-Natal,Pietermaritzburg,Health Centre,-29.751792,30.049899,011 878 9236,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
46,Pietermaritzburg Regional Clinic,KwaZulu-Natal,Pietermaritzburg,Community Health Centre,-29.154165,30.342488,011 719 9863,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
47,Pietermaritzburg Regional Clinic,KwaZulu-Natal,Pietermaritzburg,Health Centre,-29.579389,31.722071,011 625 5973,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,No
48,Umlazi Regional Clinic,KwaZulu-Natal,Umlazi,Specialist Clinic,-29.778281,31.717097,010 410 4046,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
49,Umlazi Regional Clinic,KwaZulu-Natal,Umlazi,District Hospital,-28.67481,30.132922,010 777 7326,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
50,Umlazi Health Centre,KwaZulu-Natal,Umlazi,Health Centre,-29.704557,31.232988,010 488 4101,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
51,Umlazi Primary Care Clinic,KwaZulu-Natal,Umlazi,Primary Care Clinic,-30.380582,31.761116,010 970 1920,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,No
52,Newcastle Medical Centre,KwaZulu-Natal,Newcastle,Community Health Centre,-30.1628,31.136252,010 403 9510,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
53,Newcastle Regional Clinic,KwaZulu-Natal,Newcastle,Health Centre,-30.083968,31.791243,012 616 8954,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
54,Newcastle Medical Centre,KwaZulu-Natal,Newcastle,Community Health Centre,-29.960086,30.70991,010 685 3887,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,Yes
55,Newcastle Regional Clinic,KwaZulu-Natal,Newcastle,Community Health Centre,-29.726593,30.138092,012 510 4628,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
56,Newcastle Health Facility,KwaZulu-Natal,Newcastle,Primary Care Clinic,-28.734803,31.098064,011 805 9873,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,No
57,Richards Bay Medical Centre,KwaZulu-Natal,Richards Bay,Specialist Clinic,-28.817952,31.251758,011 451 8923,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Yes,No
58,Richards Bay District Hospital,KwaZulu-Natal,Richards Bay,District Hospital,-29.60222,31.440842,011 342 9028,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
59,Richards Bay Community Health Centre,KwaZulu-Natal,Richards Bay,Community Health Centre,-29.320569,31.104244,010 534 2609,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,No
60,Port Elizabeth Regional Clinic,Eastern Cape,Port Elizabeth,District Hospital,-31.538229,26.452159,012 153 4469,24 Hours Emergency Services Available,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
61,Port Elizabeth Regional Clinic,Eastern Cape,Port Elizabeth,Health Centre,-33.214243,27.925282,011 658 7378,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,No
62,Port Elizabeth Health Facility,Eastern Cape,Port Elizabeth,Specialist Clinic,-31.817812,27.510445,011 128 7889,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
63,East London Regional Clinic,Eastern Cape,East London,Specialist Clinic,-32.094969,26.817342,011 394 8488,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
64,East London Health Facility,Eastern Cape,East London,Health Centre,-33.01371,26.106224,010 334 2445,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,No
65,East London Health Facility,Eastern Cape,East London,Specialist Clinic,-31.467414,27.865424,012 424 5994,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
66,East London Medical Centre,Eastern Cape,East London,Health Centre,-32.567718,26.046854,012 714 6821,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,Yes
67,East London Health Facility,Eastern Cape,East London,District Hospital,-31.680013,27.031861,012 684 3759,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
68,Mthatha Medical Centre,Eastern Cape,Mthatha,District Hospital,-33.975158,25.440041,012 408 1542,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
69,Mthatha Health Facility,Eastern Cape,Mthatha,District Hospital,-31.946528,26.172664,010 735 8295,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
70,Mthatha Medical Centre,Eastern Cape,Mthatha,Health Centre,-32.553022,26.754622,010 197 8982,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,Yes
71,Mthatha Regional Clinic,Eastern Cape,Mthatha,Community Health Centre,-31.239849,26.418337,011 288 5417,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,Yes
72,Mthatha Medical Centre,Eastern Cape,Mthatha,District Hospital,-33.803768,25.973114,011 714 1630,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
73,Queenstown Regional Clinic,Eastern Cape,Queenstown,Health Centre,-33.126674,25.966365,011 608 8118,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
74,Queenstown Community Health Centre,Eastern Cape,Queenstown,Community Health Centre,-31.566545,25.375148,011 735 4198,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Limited,No
75,Queenstown Regional Clinic,Eastern Cape,Queenstown,District Hospital,-33.659447,27.302926,010 918 1327,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
76,Queenstown District Hospital,Eastern Cape,Queenstown,District Hospital,-32.107601,25.968607,012 457 7713,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Limited,Yes
77,Polokwane Regional Clinic,Limpopo,Polokwane,Specialist Clinic,-23.176865,28.385442,011 449 5104,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Yes,No
78,Polokwane Medical Centre,Limpopo,Polokwane,Primary Care Clinic,-23.020955,28.174908,010 171 4848,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,No
79,Polokwane Health Facility,Limpopo,Polokwane,Community Health Centre,-23.945654,28.733166,012 950 2392,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Limited,No
80,Thohoyandou Health Facility,Limpopo,Thohoyandou,Community Health Centre,-22.795431,29.629889,012 142 6748,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,No
81,Thohoyandou Regional Clinic,Limpopo,Thohoyandou,Health Centre,-23.759453,29.923281,011 568 9078,24 Hours Emergency Services Available,"Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,Yes
82,Thohoyandou Regional Clinic,Limpopo,Thohoyandou,Primary Care Clinic,-23.561084,30.463608,010 262 8200,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
83,Thohoyandou Medical Centre,Limpopo,Thohoyandou,Community Health Centre,-23.226887,30.98381,010 330 3088,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,No
84,Giyani Medical Centre,Limpopo,Giyani,Specialist Clinic,-23.601747,30.932409,011 349 2583,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Limited,No
85,Giyani Regional Clinic,Limpopo,Giyani,Specialist Clinic,-24.857274,29.522437,012 513 3613,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",No,Yes,No
86,Giyani Health Centre,Limpopo,Giyani,Health Centre,-24.643896,30.642313,010 775 1111,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",No,Yes,No
87,Giyani District Hospital,Limpopo,Giyani,District Hospital,-23.32735,28.116576,011 242 5371,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",No,Yes,Yes
88,Giyani Medical Centre,Limpopo,Giyani,Primary Care Clinic,-23.896003,28.280302,010 149 4864,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,Yes
89,Lebowakgomo Medical Centre,Limpopo,Lebowakgomo,District Hospital,-23.027012,28.275298,011 562 4147,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
