Clinic_Name,Province,District,City,Area,Phone,Phone_Status,Clinic_Type,Services,Latitude,Longitude,Geocode_Status
Mthonjaneni Clinic,KwaZulu-Natal,King Cetshwayo,Melmoth,Mthonjaneni,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ntambanana Clinic,KwaZulu-Natal,King Cetshwayo,Ntambanana,Ntambanana,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mfolozi Clinic,KwaZulu-Natal,King Cetshwayo,Mfolozi,Mfolozi,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Nseleni Clinic,KwaZulu-Natal,King Cetshwayo,Nseleni,Nseleni,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Felixton Clinic,KwaZulu-Natal,King Cetshwayo,Felixton,Felixton,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mposa Clinic,KwaZulu-Natal,King Cetshwayo,Mposa,Mposa,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Nhlabane Clinic,KwaZulu-Natal,King Cetshwayo,Nhlabane,Nhlabane,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Obanjeni Clinic,KwaZulu-Natal,King Cetshwayo,Obanjeni,Obanjeni,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Macekane Clinic,KwaZulu-Natal,King Cetshwayo,Macekane,Macekane,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Nkwalini Clinic,KwaZulu-Natal,King Cetshwayo,Nkwalini,Nkwalini,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Cato Manor CHC,KwaZulu-Natal,eThekwini,Durban,Cato Manor,031 261 4877,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaDabeka CHC,KwaZulu-Natal,eThekwini,Durban,KwaDabeka,031 714 3700,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Clermont Clinic,KwaZulu-Natal,eThekwini,Durban,Clermont,031 707 5482,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaNdengezi Clinic,KwaZulu-Natal,eThekwini,Durban,KwaNdengezi,031 704 5017,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaNgcolosi Clinic,KwaZulu-Natal,eThekwini,Durban,KwaNgcolosi,031 766 0067,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Molweni Clinic,KwaZulu-Natal,eThekwini,Durban,Molweni,031 776 4122,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Maphephetheni Clinic,KwaZulu-Natal,eThekwini,Durban,Maphephetheni,031 777 7707,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Zwelibomvu Clinic,KwaZulu-Natal,eThekwini,Durban,Zwelibomvu,031 706 0299,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Halley Stott Clinic,KwaZulu-Natal,eThekwini,Durban,Halley Stott,031 702 3802,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Umlazi V Section Clinic,KwaZulu-Natal,eThekwini,Durban,Umlazi V,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Umlazi K Section Clinic,KwaZulu-Natal,eThekwini,Durban,Umlazi K,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Umlazi AA Clinic,KwaZulu-Natal,eThekwini,Durban,Umlazi AA,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Umlazi P Section Clinic,KwaZulu-Natal,eThekwini,Durban,Umlazi P,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaMashu CHC,KwaZulu-Natal,eThekwini,Durban,KwaMashu,031 538 8800,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaMashu B Section Clinic,KwaZulu-Natal,eThekwini,Durban,KwaMashu B,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Inanda CHC,KwaZulu-Natal,eThekwini,Durban,Inanda,031 519 2000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ntuzuma Clinic,KwaZulu-Natal,eThekwini,Durban,Ntuzuma,031 519 1800,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Lindelani Clinic,KwaZulu-Natal,eThekwini,Durban,Lindelani,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaMashu Poly Clinic,KwaZulu-Natal,eThekwini,Durban,KwaMashu,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Phoenix CHC,KwaZulu-Natal,eThekwini,Durban,Phoenix,031 500 3000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Verulam Clinic,KwaZulu-Natal,eThekwini,Verulam,Verulam,032 533 1004,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Tongaat Clinic,KwaZulu-Natal,eThekwini,Tongaat,Tongaat,032 944 1311,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Chatsworth CHC,KwaZulu-Natal,eThekwini,Durban,Chatsworth,031 405 8800,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Wentworth Clinic,KwaZulu-Natal,eThekwini,Durban,Wentworth,031 460 3100,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Addington Clinic,KwaZulu-Natal,eThekwini,Durban,Addington,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Prince Mshiyeni Clinic,KwaZulu-Natal,eThekwini,Durban,Umlazi,031 907 8000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Isipingo Clinic,KwaZulu-Natal,eThekwini,Durban,Isipingo,031 902 3000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Lamontville Clinic,KwaZulu-Natal,eThekwini,Durban,Lamontville,031 462 3000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Chesterville Clinic,KwaZulu-Natal,eThekwini,Durban,Chesterville,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Overport Clinic,KwaZulu-Natal,eThekwini,Durban,Overport,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Pietermaritzburg CHC,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,CBD,033 897 3300,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Edendale CHC,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,Edendale,033 395 4000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Imbali Clinic,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,Imbali,033 395 4100,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Northdale Clinic,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,Northdale,033 387 3000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Hanover Clinic,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,Hanover,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Eastwood Clinic,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,Eastwood,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mkondeni Clinic,KwaZulu-Natal,uMgungundlovu,Pietermaritzburg,Mkondeni,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Howick Clinic,KwaZulu-Natal,uMgungundlovu,Howick,Howick,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mooi River Clinic,KwaZulu-Natal,uMgungundlovu,Mooi River,Mooi River,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Richmond Clinic,KwaZulu-Natal,uMgungundlovu,Richmond,Richmond,033 212 2411,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Camperdown Clinic,KwaZulu-Natal,uMgungundlovu,Camperdown,Camperdown,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Boston Clinic,KwaZulu-Natal,uMgungundlovu,Boston,Boston,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Bulwer Clinic,KwaZulu-Natal,uMgungundlovu,Bulwer,Bulwer,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Donnybrook Clinic,KwaZulu-Natal,uMgungundlovu,Donnybrook,Donnybrook,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ixopo Clinic,KwaZulu-Natal,Harry Gwala,Ixopo,Ixopo,039 834 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Underberg Clinic,KwaZulu-Natal,Harry Gwala,Underberg,Underberg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Kokstad Clinic,KwaZulu-Natal,Harry Gwala,Kokstad,Kokstad,039 797 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Harding Clinic,KwaZulu-Natal,Harry Gwala,Harding,Harding,039 433 0100,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Creighton Clinic,KwaZulu-Natal,Harry Gwala,Creighton,Creighton,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Franklin Clinic,KwaZulu-Natal,Harry Gwala,Franklin,Franklin,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ladysmith CHC,KwaZulu-Natal,uThukela,Ladysmith,Ladysmith,036 637 2000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Estcourt Clinic,KwaZulu-Natal,uThukela,Estcourt,Estcourt,036 342 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Newcastle Clinic,KwaZulu-Natal,Amajuba,Newcastle,Newcastle CBD,034 328 8000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Madadeni Clinic,KwaZulu-Natal,Amajuba,Newcastle,Madadeni,034 328 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Osizweni Clinic,KwaZulu-Natal,Amajuba,Newcastle,Osizweni,034 328 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dannhauser Clinic,KwaZulu-Natal,Amajuba,Dannhauser,Dannhauser,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Utrecht Clinic,KwaZulu-Natal,Amajuba,Utrecht,Utrecht,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Glencoe Clinic,KwaZulu-Natal,uMzinyathi,Glencoe,Glencoe,034 393 1100,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dundee Clinic,KwaZulu-Natal,uMzinyathi,Dundee,Dundee,034 212 1111,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Nquthu Clinic,KwaZulu-Natal,uMzinyathi,Nquthu,Nquthu,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Msinga Clinic,KwaZulu-Natal,uMzinyathi,Msinga,Msinga,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Greytown Clinic,KwaZulu-Natal,uMzinyathi,Greytown,Greytown,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Vryheid Clinic,KwaZulu-Natal,Zululand,Vryheid,Vryheid,034 989 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ulundi Clinic,KwaZulu-Natal,Zululand,Ulundi,Ulundi,035 874 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Nongoma Clinic,KwaZulu-Natal,Zululand,Nongoma,Nongoma,035 831 0011,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Pongola Clinic,KwaZulu-Natal,Zululand,Pongola,Pongola,034 413 1200,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Paulpietersburg Clinic,KwaZulu-Natal,Zululand,Paulpietersburg,Paulpietersburg,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Babanango Clinic,KwaZulu-Natal,Zululand,Babanango,Babanango,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Port Shepstone Clinic,KwaZulu-Natal,Ugu,Port Shepstone,Port Shepstone,039 688 6000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Margate Clinic,KwaZulu-Natal,Ugu,Margate,Margate,039 312 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Hibberdene Clinic,KwaZulu-Natal,Ugu,Hibberdene,Hibberdene,039 699 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Scottburgh Clinic,KwaZulu-Natal,Ugu,Scottburgh,Scottburgh,039 978 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Umzinto Clinic,KwaZulu-Natal,Ugu,Umzinto,Umzinto,039 974 1000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Dududu Clinic,KwaZulu-Natal,Ugu,Dududu,Dududu,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mtwalume Clinic,KwaZulu-Natal,Ugu,Mtwalume,Mtwalume,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Umzimkhulu Clinic,KwaZulu-Natal,Harry Gwala,Umzimkhulu,Umzimkhulu,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Highflats Clinic,KwaZulu-Natal,Harry Gwala,Highflats,Highflats,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Rosedale Clinic,Eastern Cape,Nelson Mandela Bay,Kariega,Rosedale,041 506 1114,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Booysens Park Clinic,Eastern Cape,Nelson Mandela Bay,Gqeberha,Booysens Park,041 506 2700,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Chatty Clinic,Eastern Cape,Nelson Mandela Bay,Gqeberha,Chatty,041 506 3070,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Gqebera CHC,Eastern Cape,Nelson Mandela Bay,Gqeberha,Gqebera,041 506 1611,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Korsten CHC,Eastern Cape,Nelson Mandela Bay,Gqeberha,Korsten,041 405 2684,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
West End CHC,Eastern Cape,Nelson Mandela Bay,Gqeberha,West End,041 506 1160,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Motherwell CHC,Eastern Cape,Nelson Mandela Bay,Gqeberha,Motherwell,041 462 0200,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
KwaZakhele Clinic,Eastern Cape,Nelson Mandela Bay,Gqeberha,KwaZakhele,041 405 2000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
New Brighton CHC,Eastern Cape,Nelson Mandela Bay,Gqeberha,New Brighton,041 405 4000,available,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Zwide Clinic,Eastern Cape,Nelson Mandela Bay,Gqeberha,Zwide,041 405 4100,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Flagstaff CHC,Eastern Cape,OR Tambo,Flagstaff,Flagstaff,,to_verify,CHC,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Holy Cross Clinic,Eastern Cape,OR Tambo,Holy Cross,Holy Cross,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Lusikisiki Clinic,Eastern Cape,OR Tambo,Lusikisiki,Lusikisiki,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
